date,transfer_count,usdc_volume,BTC_Close,ETH_Close
2023-11-09,76895,9022290912.865755,36693.125,2120.56103515625
2023-11-10,68561,7225082289.21493,37313.96875,2078.289794921875
2023-11-11,56623,3447235269.3987885,37138.05078125,2052.7138671875
2023-11-12,50657,2045984252.524869,37054.51953125,2045.18701171875
2023-11-13,58255,7155526997.699211,36502.35546875,2055.265380859375
2023-11-14,62303,6972562706.021664,35537.640625,1979.0526123046875
2023-11-15,64509,6449225870.3933525,37880.58203125,2060.408447265625
2023-11-16,66055,6797851913.971006,36154.76953125,1960.881591796875
2023-11-17,62213,6797855463.326423,36596.68359375,1961.28076171875
2023-11-18,50870,3000207849.6813912,36585.703125,1963.2850341796875
2023-11-19,50089,2116792421.943247,37386.546875,2013.2044677734375
2023-11-20,61747,4511809930.459823,37476.95703125,2022.2391357421875
2023-11-21,70960,6369779527.723647,35813.8125,1937.0667724609375
2023-11-22,63549,6715278554.575092,37432.33984375,2064.42529296875
2023-11-23,51945,3903824556.0963464,37289.62109375,2062.210693359375
2023-11-24,56685,5713432697.58404,37720.28125,2081.152099609375
2023-11-25,46510,1264795454.3648703,37796.79296875,2084.4130859375
2023-11-26,46035,1790751557.9196858,37479.12109375,2063.2861328125
2023-11-27,57109,5073618945.463725,37254.16796875,2027.4173583984375
2023-11-28,56574,4492599871.444965,37831.0859375,2049.338134765625
2023-11-29,60317,5295405098.248083,37858.4921875,2029.92919921875
2023-11-30,57222,5203150065.06244,37712.74609375,2052.55615234375
2023-12-01,62360,4897918231.514844,38688.75,2087.139892578125
2023-12-02,53526,2205185059.5496674,39476.33203125,2165.7041015625
2023-12-03,51925,1845675394.6300375,39978.390625,2193.691650390625
2023-12-04,73400,5817710120.95122,41980.09765625,2243.2158203125
2023-12-05,69186,6185509416.054008,44080.6484375,2293.841796875
2023-12-06,66068,4680854164.99937,43746.4453125,2231.661376953125
2023-12-07,69794,5472717384.042246,43292.6640625,2357.57958984375
2023-12-08,75097,5244934235.180739,44166.6015625,2358.73193359375
2023-12-09,64875,2544546541.445618,43725.984375,2341.17529296875
2023-12-10,57839,1880145763.8274248,43779.69921875,2352.462646484375
2023-12-11,79046,7632425284.164583,41243.83203125,2224.578857421875
2023-12-12,64300,6510681234.127123,41450.22265625,2202.0380859375
2023-12-13,61224,7269133346.206432,42890.7421875,2260.648681640625
2023-12-14,65585,6028974312.929705,43023.97265625,2316.5791015625
2023-12-15,69410,6041868101.550577,41929.7578125,2219.33740234375
2023-12-16,51855,3076331458.355212,42240.1171875,2226.926513671875
2023-12-17,50382,2895246719.169137,41364.6640625,2196.481201171875
2023-12-18,80660,6525884950.490892,42623.5390625,2217.2734375
2023-12-19,61925,5891476092.02055,42270.52734375,2177.87255859375
2023-12-20,62674,6303657309.634827,43652.25,2201.911376953125
2023-12-21,74711,6191119232.396373,43869.15234375,2239.54248046875
2023-12-22,81858,6359571791.092337,43997.90234375,2326.52490234375
2023-12-23,65813,2346686257.238424,43739.54296875,2309.04638671875
2023-12-24,67800,2529145832.8171296,43016.1171875,2265.692138671875
2023-12-25,65031,2509552415.694791,43613.140625,2272.561767578125
2023-12-26,75048,5968136959.04531,42520.40234375,2231.46533203125
2023-12-27,72201,6688265947.793364,43442.85546875,2378.739990234375
2023-12-28,78278,7903855745.209127,42627.85546875,2347.566162109375
2023-12-29,75886,7427960140.152803,42099.40234375,2300.690673828125
2023-12-30,61572,3682987918.6719785,42156.90234375,2292.0654296875
2023-12-31,64169,3516387898.6982327,42265.1875,2281.47119140625
2024-01-01,66572,4041890872.382679,44167.33203125,2352.327880859375
2024-01-02,84377,8073989237.467541,44957.96875,2355.83642578125
2024-01-03,81958,8408940584.41234,42848.17578125,2210.761962890625
2024-01-04,78220,7835511875.636898,44179.921875,2269.0380859375
2024-01-05,74795,6622779543.891227,44162.69140625,2268.647216796875
2024-01-06,56289,2177256392.1096873,43989.1953125,2241.624755859375
2024-01-07,45725,1793818182.4194305,43943.09765625,2222.865966796875
2024-01-08,80229,7953872222.586308,46970.50390625,2333.03271484375
2024-01-09,80427,7808584756.206765,46139.73046875,2344.8271484375
2024-01-10,76686,8705528353.06801,46627.77734375,2582.103515625
2024-01-11,83648,11360079313.728195,46368.5859375,2619.619140625
2024-01-12,82679,10692263860.033163,42853.16796875,2524.460205078125
2024-01-13,60340,3108656009.3448734,42842.3828125,2576.597900390625
2024-01-14,51178,2409106827.9576244,41796.26953125,2472.2412109375
2024-01-15,64381,4711465194.063939,42511.96875,2511.36376953125
2024-01-16,59125,7549757768.9388,43154.9453125,2587.691162109375
2024-01-17,58823,8906844108.366522,42742.65234375,2528.369384765625
2024-01-18,67781,8342848017.381803,41262.05859375,2467.018798828125
2024-01-19,78615,9892465386.169971,41618.40625,2489.49853515625
2024-01-20,57743,4366697951.365688,41665.5859375,2469.589111328125
2024-01-21,57353,1707337696.435236,41545.78515625,2453.9130859375
2024-01-22,85695,7998928566.222512,39507.3671875,2310.826416015625
2024-01-23,90520,8089500097.516563,39845.55078125,2240.68603515625
2024-01-24,73426,6531653703.635551,40077.07421875,2233.561767578125
2024-01-25,68659,5997920119.968374,39933.80859375,2217.710205078125
2024-01-26,68404,5914961862.062641,41816.87109375,2267.19970703125
2024-01-27,55554,2083914447.3716795,42120.0546875,2267.885986328125
2024-01-28,55793,1903573202.009928,42035.59375,2257.208740234375
2024-01-29,68661,6921511588.0087385,43288.24609375,2317.064208984375
2024-01-30,69292,8269276176.380429,42952.609375,2344.49365234375
2024-01-31,78633,7318466430.963826,42582.60546875,2282.54443359375
2024-02-01,72062,6197852415.539221,43075.7734375,2303.82470703125
2024-02-02,73716,5333389110.570142,43185.859375,2308.0380859375
2024-02-03,50727,1514092776.759087,42992.25,2296.038330078125
2024-02-04,52734,1210647428.104885,42583.58203125,2289.546142578125
2024-02-05,69339,6028177174.120583,42658.66796875,2298.888916015625
2024-02-06,59523,6780423115.872216,43084.671875,2372.201904296875
