date,transfer_count,usdc_volume
2025-01-14 00:00:00.000 UTC,131311,14224678870.125002
2025-01-15 00:00:00.000 UTC,136213,15775601107.075756
2025-01-16 00:00:00.000 UTC,133808,15408697819.350744
2025-01-17 00:00:00.000 UTC,133974,19091658332.35771
2025-01-18 00:00:00.000 UTC,161960,13150839805.825424
2025-01-19 00:00:00.000 UTC,169117,19157246067.032578
2025-01-20 00:00:00.000 UTC,177149,27685010081.502647
2025-01-21 00:00:00.000 UTC,151392,31880825396.39683
2025-01-22 00:00:00.000 UTC,144355,18556031213.707733
2025-01-23 00:00:00.000 UTC,152592,20940410989.985332
2025-01-24 00:00:00.000 UTC,137871,15711293094.209167
2025-01-25 00:00:00.000 UTC,116655,6260332631.020568
2025-01-26 00:00:00.000 UTC,128427,5997959340.37016
2025-01-27 00:00:00.000 UTC,167153,19309241034.822823
2025-01-28 00:00:00.000 UTC,149454,11669397070.386477
2025-01-29 00:00:00.000 UTC,160379,11675100461.541168
2025-01-30 00:00:00.000 UTC,158231,16626699807.5509
2025-01-31 00:00:00.000 UTC,174918,17344249671.443146
2025-02-01 00:00:00.000 UTC,164207,7539940934.744755
2025-02-02 00:00:00.000 UTC,186415,11053755582.467258
2025-02-03 00:00:00.000 UTC,209232,34291887642.930138
2025-02-04 00:00:00.000 UTC,233215,23491487434.777554
2025-02-05 00:00:00.000 UTC,186164,16423446074.925716
2025-02-06 00:00:00.000 UTC,190116,16031359017.894314
2025-02-07 00:00:00.000 UTC,193815,19038585186.487793
2025-02-08 00:00:00.000 UTC,148226,9447120303.194334
2025-02-09 00:00:00.000 UTC,159129,7126214755.312841
2025-02-10 00:00:00.000 UTC,200924,17909304791.788944
2025-02-11 00:00:00.000 UTC,229222,17267762151.519608
2025-02-12 00:00:00.000 UTC,186523,22465668843.303764
2025-02-13 00:00:00.000 UTC,184126,17832183307.097176
2025-02-14 00:00:00.000 UTC,185073,15765449511.507423
2025-02-15 00:00:00.000 UTC,135150,7474757363.831181
2025-02-16 00:00:00.000 UTC,131607,6175573552.365374
2025-02-17 00:00:00.000 UTC,153973,11545940835.417824
2025-02-18 00:00:00.000 UTC,193489,20841990704.001495
2025-02-19 00:00:00.000 UTC,173894,15228682208.292273
2025-02-20 00:00:00.000 UTC,181106,18687603880.729923
2025-02-21 00:00:00.000 UTC,196753,26570166118.834
2025-02-22 00:00:00.000 UTC,155614,10999771957.665873
2025-02-23 00:00:00.000 UTC,139284,8212285351.460718
2025-02-24 00:00:00.000 UTC,205276,23630898110.84723
2025-02-25 00:00:00.000 UTC,263090,30415956891.85949
2025-02-26 00:00:00.000 UTC,207691,26492620911.373413
2025-02-27 00:00:00.000 UTC,206006,20821992361.729317
2025-02-28 00:00:00.000 UTC,252040,36366684593.47375
2025-03-01 00:00:00.000 UTC,177067,10243801224.15243
2025-03-02 00:00:00.000 UTC,175008,14753898375.76597
2025-03-03 00:00:00.000 UTC,234175,22782697697.54358
2025-03-04 00:00:00.000 UTC,249090,22723865359.943382
2025-03-05 00:00:00.000 UTC,203011,18389262297.76939
2025-03-06 00:00:00.000 UTC,227904,17190969036.449375
2025-03-07 00:00:00.000 UTC,230260,20749279409.34887
2025-03-08 00:00:00.000 UTC,165579,7903874164.95451
2025-03-09 00:00:00.000 UTC,180227,11618310258.571478
2025-03-10 00:00:00.000 UTC,237442,23761987406.535557
2025-03-11 00:00:00.000 UTC,256320,17714585888.899433
2025-03-12 00:00:00.000 UTC,216092,20208452718.088604
2025-03-13 00:00:00.000 UTC,195575,23117458230.884388
2025-03-14 00:00:00.000 UTC,187770,23392226807.142853
2025-03-15 00:00:00.000 UTC,142153,10627564676.585115
2025-03-16 00:00:00.000 UTC,144709,8978628033.697065
2025-03-17 00:00:00.000 UTC,184174,19860467865.41143
2025-03-18 00:00:00.000 UTC,182059,16459270409.551205
2025-03-19 00:00:00.000 UTC,194262,22093836754.88937
2025-03-20 00:00:00.000 UTC,192306,23645918035.302258
2025-03-21 00:00:00.000 UTC,184072,25603827250.397163
2025-03-22 00:00:00.000 UTC,139850,7304790815.931833
2025-03-23 00:00:00.000 UTC,136454,9649019466.640516
2025-03-24 00:00:00.000 UTC,206496,29748857779.97485
2025-03-25 00:00:00.000 UTC,211196,29595738500.55616
2025-03-26 00:00:00.000 UTC,208195,19491261787.9592
2025-03-27 00:00:00.000 UTC,206632,23186076340.40762
2025-03-28 00:00:00.000 UTC,238174,27121261411.205013
2025-03-29 00:00:00.000 UTC,198690,14432000479.289068
2025-03-30 00:00:00.000 UTC,165674,12081672777.909689
2025-03-31 00:00:00.000 UTC,232735,30785443861.753376
2025-04-01 00:00:00.000 UTC,224156,23421129125.972656
2025-04-02 00:00:00.000 UTC,242440,23075441813.24881
2025-04-03 00:00:00.000 UTC,271157,24821288632.708168
2025-04-04 00:00:00.000 UTC,234978,25264356922.917244
2025-04-05 00:00:00.000 UTC,153993,9337431617.885984
2025-04-06 00:00:00.000 UTC,210028,15470404135.26725
2025-04-07 00:00:00.000 UTC,324026,30439225251.12487
2025-04-08 00:00:00.000 UTC,290209,24125529799.38517
2025-04-09 00:00:00.000 UTC,283594,29881703282.83001
2025-04-10 00:00:00.000 UTC,274728,23178640635.799538
2025-04-11 00:00:00.000 UTC,268241,28300456441.630077
2025-04-12 00:00:00.000 UTC,208370,14353798381.799936
2025-04-13 00:00:00.000 UTC,185763,10769617480.874195
2025-04-14 00:00:00.000 UTC,231308,20513498718.3079
2025-04-15 00:00:00.000 UTC,232803,24771233959.017693
2025-04-16 00:00:00.000 UTC,218787,22102353173.199528
2025-04-17 00:00:00.000 UTC,213387,23187134245.982655
2025-04-18 00:00:00.000 UTC,188535,24049472877.479748
2025-04-19 00:00:00.000 UTC,222694,9174501540.656944
2025-04-20 00:00:00.000 UTC,156367,10359966430.921385
2025-04-21 00:00:00.000 UTC,232733,22145626662.58317
2025-04-22 00:00:00.000 UTC,248780,33303172941.65297
2025-04-23 00:00:00.000 UTC,267464,29022809291.728287
2025-04-24 00:00:00.000 UTC,326009,24585370924.961468
2025-04-25 00:00:00.000 UTC,311900,24289541896.66036
2025-04-26 00:00:00.000 UTC,228963,11925898764.56146
2025-04-27 00:00:00.000 UTC,191128,10925782485.67039
2025-04-28 00:00:00.000 UTC,253045,24211345434.94111
2025-04-29 00:00:00.000 UTC,253968,17054084944.3733
2025-04-30 00:00:00.000 UTC,255465,20840144866.67457
2025-05-01 00:00:00.000 UTC,241047,22950059475.47822
2025-05-02 00:00:00.000 UTC,219168,16968836207.36671
2025-05-03 00:00:00.000 UTC,175677,9159621338.466606
2025-05-04 00:00:00.000 UTC,171269,10465015332.052814
2025-05-05 00:00:00.000 UTC,227664,21220177042.88126
2025-05-06 00:00:00.000 UTC,243230,25504826643.405792
2025-05-07 00:00:00.000 UTC,239284,20824743513.28761
2025-05-08 00:00:00.000 UTC,246813,29360502972.50824
2025-05-09 00:00:00.000 UTC,254117,31250663238.509937
2025-05-10 00:00:00.000 UTC,193809,11770021790.251232
2025-05-11 00:00:00.000 UTC,183013,11315446055.2479
2025-05-12 00:00:00.000 UTC,226532,23439987359.098606
2025-05-13 00:00:00.000 UTC,229873,22863250421.97019
2025-05-14 00:00:00.000 UTC,229860,20729435574.189743
2025-05-15 00:00:00.000 UTC,249124,22380465127.021385
2025-05-16 00:00:00.000 UTC,240905,18116966731.07782
2025-05-17 00:00:00.000 UTC,226601,11340873374.290333
2025-05-18 00:00:00.000 UTC,201780,10683371028.860855
2025-05-19 00:00:00.000 UTC,256552,18340506788.93641
2025-05-20 00:00:00.000 UTC,256917,20495881346.02884
2025-05-21 00:00:00.000 UTC,242841,27403737422.489235
2025-05-22 00:00:00.000 UTC,245521,24048290068.64209
2025-05-23 00:00:00.000 UTC,252401,27447088748.284023
2025-05-24 00:00:00.000 UTC,213226,9729161548.76104
2025-05-25 00:00:00.000 UTC,211619,12141198233.554176
2025-05-26 00:00:00.000 UTC,263300,15308632684.793364
2025-05-27 00:00:00.000 UTC,269980,21022940095.88128
2025-05-28 00:00:00.000 UTC,263928,16854525221.923588
2025-05-29 00:00:00.000 UTC,235498,22323198598.347153
2025-05-30 00:00:00.000 UTC,245025,21121080330.272465
2025-05-31 00:00:00.000 UTC,219235,12319456616.174725
2025-06-01 00:00:00.000 UTC,252899,8338893952.965798
2025-06-02 00:00:00.000 UTC,257601,16655251850.682823
2025-06-03 00:00:00.000 UTC,236131,19393706252.57669
2025-06-04 00:00:00.000 UTC,222205,15885482203.218063
2025-06-05 00:00:00.000 UTC,255037,18706731570.246624
2025-06-06 00:00:00.000 UTC,269541,25267735563.86416
2025-06-07 00:00:00.000 UTC,242978,9733211043.914211
2025-06-08 00:00:00.000 UTC,230613,8985630809.12262
